편코드,제목,상태,확정일,메모
2-17,날개 달린 단풍 씨앗,확정,2026-08-28,단풍씨앗. throw 뺌(바람 없음). 선화 많은 미완성 느낌. 6칸
2-20,나뭇가지 위 푸른 박새,확정,2026-08-28,푸른 박새. whistle을 부리로. 8칸
2-21,잎사귀 위 무당벌레,확정,2026-08-28,무당벌레. cell을 잎맥으로. 손·연필 보임. 6칸
2-23,나선형 껍질의 달팽이,확정,2026-08-28,달팽이. ★wound·pause 뺌 - 상처 없음★ 5칸
2-24,온실과 분무기,확정,2026-08-28,온실병·분무기·몬스테라. 좌표 7개 조정
3-01,조용한 부엌,확정,2026-08-28,★그림결함★ 전자레인지·쓰레기통에 E 글자 인쇄됨. recipe 뺌(조리법 없음). 7칸
3-02,벽돌집과 지붕,확정,2026-08-28,벽돌집. neighbor 뺌(이웃집 없음). 7칸. 울타리 있는데 단어 없음
3-03,창고 벽의 연장,확정,2026-08-28,창고 연장. chain이 엉뚱한 곳에 있어 쇠사슬로. 8칸
3-04,빨랫줄과 집게,확정,2026-08-28,빨랫줄. dust 뺌(먼지 없음). sweep을 날리는 천으로. 7칸
3-05,현관 구석의 잡동사니,확정,2026-08-28,현관 잡동사니. 좌표 8개 자루·장화로 재배치
3-06,거울 앞 선반,확정,2026-08-28,거울앞 선반. charm 뺌. 8칸→7칸
3-07,화분 속 새싹,확정,2026-08-28,화분 새싹. 좌표 8개 조정
3-08,물뿌리개와 모종삽,확정,2026-08-28,물뿌리개·모종삽. ★operate·prepare·mix 뺌 - 다루는 손도 섞는 것도 없음★ 5칸
3-09,유리 온실 병,확정,2026-08-28,유리 온실병. 좌표 8개 조정
3-10,꽃가위와 라벤더,확정,2026-08-28,꽃가위·라벤더. 손·Veo워터마크 있음. 좌표 7개 조정
3-11,그루터기 위 새집,확정,2026-08-28,그루터기 새집. stick을 횃대로. 손·연필 보임
3-12,바구니에 담은 가을,확정,2026-08-28,바구니 가을. lot·share 뺌(중복·짚을데없음). 6칸
3-13,꽃을 누르는 나무틀,확정,2026-08-28,꽃 누르는 틀. 6칸 유지. 손·연필 보임
3-14,외발 손수레,확정,2026-08-28,외발 손수레. shift 뺌. 8칸
3-15,유리로 지은 온실,확정,2026-08-28,유리 온실. through를 빛으로. 손·Veo워터마크
3-16,울타리 앞 해바라기,확정,2026-08-28,해바라기·격자울타리. fence 좌표를 실제 울타리로. 5칸
3-17,옷걸이의 옷,확정,2026-08-28,옷걸이 옷. possess 뺌. 7칸
3-18,맑은 욕실,확정,2026-08-28,욕실. physical 뺌. rub·wrap을 수건으로. 7칸
3-19,계단 옆 거실,확정,2026-08-28,계단옆 거실. ★거실 가구가 없음★ private 뺌. 창문 있는데 단어 없음. 6칸
3-20,램프 곁의 담요,확정,2026-08-28,벤치·담요·전등2개·수납장. 좌표 7개 조정
4-01,자료실의 분류벽 (카드 목록장),확정,2026-08-28,카드목록장. magazine·graph 뺌(잡지도 그래프도 없음). 9칸
4-02,무대 원고 편집실 (타자기),확정,2026-08-28,타자기. secretary 뺌(사람 없음). 8칸
4-03,여행기록 보존대 (양장본),확정,2026-08-28,여행기록 보존대. 좌표 7개 노트·두루마리로 재배치
4-04,이젤과 화판,확정,2026-08-28,이젤·빈 화판. illustrate 뺌. 손·붓 보임. 7칸
4-05,만년필과 잉크,확정,2026-08-28,만년필. ★spell·paragraph·edit 뺌 - 글자가 하나도 없음★ 5칸
4-06,돋보기와 렌즈,확정,2026-08-28,★그림결함★ 채색이 선 밖으로 크게 벗어남. clue·assess 뺌. 7칸
4-07,탁상 핸드벨,확정,2026-08-28,★그림결함★ 왼쪽위 #FFFFFFC 인쇄됨. 재제작 필요
4-08,잉크병과 스포이트,확정,2026-08-28,★그림결함★ 채색 통째로 어긋남. 재제작 필요
4-09,나무 독서대,확정,2026-08-28,★그림결함★ 채색이 선 밖으로 벗어남. 재제작 필요
4-10,클립과 압정,확정,2026-08-28,★그림결함★ 클립 채색 어긋남. thousand·per 뺌(압정 3개뿐). 5칸
4-11,책상 위 기록,확정,2026-08-28,책·서류·만년필. 좌표 8개 재배치
4-12,책상 위 깃펜과 책,확정,2026-08-28,책상·깃펜·잉크병·책더미. 좌표 9개 재배치
5-01,놀이공원 대관람차,확정,2026-08-28,대관람차·회전목마. sky 뺌(하늘 안그려짐)·entire 뺌. wheel이 엉뚱한곳에 있었음. 7칸
5-02,물보라 롤러코스터,확정,2026-08-28,★제목불일치★ 물보라 롤러코스터인데 물이 없음. water·splash·desperate 뺌. 6칸
5-03,범퍼카 타는 아이들,확정,2026-08-28,범퍼카. ★그림체 불일치 - 혼자 만화풍★ 좌표 9개 조정
5-04,드롭타워 꼭대기,확정,2026-08-28,드롭타워. 좌표 8개 사람·안전바로 재배치
5-05,곰인형을 뽑다,확정,2026-08-28,곰인형 뽑기. 좌표 9개 아이들·리본으로 재배치
5-06,서재 정리대와 고서,확정,2026-08-28,서재 독서대·고서. 좌표 8개 조정
5-07,판사봉과 법전,확정,2026-08-28,★글자결함★ 법전 표지에 LAM 인쇄(LAW 오타). lawyer·evil 뺌(사람도 악도 없음). 11칸
5-08,항구와 닻,확정,2026-08-28,항구와 닻. captain 뺌(사람 없음). Veo워터마크. 8칸
5-16,스쿨버스와 정지판,확정,2026-08-28,★글자결함★ 표지판에 SON·NHFFFFFFF 인쇄. schedule·van 뺌(버스지 승합차 아님). 7칸
5-17,가게 계산대,확정,2026-08-28,★그림결함★ 채색이 선 밖으로 벗어남. 좌표 9개 재배치
5-18,은행 창구,확정,2026-08-28,★글자결함★ LOAN 두 곳 인쇄. stock·loss 뺌(주식도 손실도 없음). 9칸
5-19,우체국 창구,확정,2026-08-28,★글자결함★ 소포에 #5.2H 등 인쇄. request·insure 뺌. 7칸
5-20,사건 현장,확정,2026-08-28,★글자결함★ POLICE 크게 인쇄. thief·victim 뺌(도둑도 피해자도 없음). 7칸
5-21,기차역 승강장,확정,2026-08-28,기차역. greet 뺌(사람 없음). 표가 있는데 단어 없음. 6칸
5-22,공장 작업대,확정,2026-08-28,공장 기계·석탄. 창고 ch13_01과 거의 같은 그림. 9칸
5-23,광장의 군중,확정,2026-08-28,★제목불일치★ 광장의 군중인데 아이 셋뿐. audience·community 뺌. 7칸
5-24,사무 책상의 서류들,확정,2026-08-28,★글자결함★ PAY·ACCOUNT·AGGAMEMENT(오타) 인쇄. boss·career·employ 뺌(사람 없음). 10칸
5-25,늘어선 도시 건물,확정,2026-08-28,도시 건물 4채. university·pub 뺌(대학도 선술집도 없음). 7칸
5-26,작업대의 스위치와 펌프,확정,2026-08-28,스위치·자물쇠·펌프. ★glue·screen·motor·disc 뺌 - 풀도 화면도 모터도 없음★ 5칸
5-27,관공서 창구,확정,2026-08-28,관공서 창구. guest·client 뺌(사람 없음). 10칸
5-28,실험대와 도면,확정,2026-08-28,실험 플라스크·도면. 좌표 8개 재배치
5-29,구조 헬리콥터,확정,2026-08-28,구조 헬리콥터. 좌표 7개 재배치
6-01,끓는 냄비와 주전자,확정,2026-08-28,냄비·주전자·달걀껍질·깡통. 끓는 장면은 없음. 좌표 8개 조정
6-02,도마 위에서 다듬기,확정,2026-08-28,도마·버섯·후추. menu 뺌(차림표 없음). 7칸
6-03,프라이팬의 고기,확정,2026-08-28,프라이팬·스테이크·베이컨·감자칩. consume 뺌. 7칸
6-04,물레와 점토,확정,2026-08-28,물레와 점토 항아리. 좌표 7개 조정
6-05,재봉틀과 실토리,확정,2026-08-28,재봉틀과 실토리. 좌표 8개 조정
6-06,목공 대패와 대팻밥,확정,2026-08-28,목공 대패와 대팻밥. 좌표 7개 조정
6-07,가죽 펀치와 가죽,확정,2026-08-28,가죽 펀치와 가죽띠. 손·Veo워터마크. 좌표 8개 조정
6-08,스테인드글라스 조각,확정,2026-08-28,스테인드글라스 꽃. 손·연필 보임. 좌표 7개 조정
6-09,석고상과 조각주걱,확정,2026-08-28,석고 흉상과 조각주걱. 손·Veo워터마크. 좌표 7개 조정
6-10,양장본 책과 리본,확정,2026-08-28,★그림결함★ 채색이 선 밖으로 벗어남. record·detail 뺌(글도 세부도 없음). 5칸
6-11,응급실 앞,확정,2026-08-28,구급차·들것·붕대. 좌표 9개 조정
6-12,벌통과 꿀단지,확정,2026-08-28,벌·꽃·풀은 1200밖. diet·hunger·resource·contribute 뺌. 4칸
6-13,물레와 도자기,확정,2026-08-28,물레·항아리·유약 그릇. 좌표 8개 조정
6-14,화석과 돋보기,확정,2026-08-28,암모나이트 화석·돋보기·조각도. 손·연필. 좌표 6개 조정
6-15,오크통과 포도,확정,2026-08-28,오크통·꼭지·포도송이. 좌표 5개 조정
6-16,가지런한 아침상,확정,2026-08-28,아침상 쟁반·밥·토스트·찻주전자. 좌표 8개 조정
6-17,과일 접시,확정,2026-08-28,과일 접시·배·멜론·딸기·레몬. 좌표 7개 조정
6-18,장 보고 온 저녁,확정,2026-08-28,빵봉지·꿀단지·파이·설탕·초콜릿. beer 뺌(맥주 없음). 8칸
7-01,거울을 보는 시선,확정,2026-08-28,★그림결함★ 채색이 선 밖으로 벗어남·혼자 만화풍. 좌표 9개 얼굴로 재배치
7-02,아픈 사람과 휴식,확정,2026-08-28,환자·붕대·약병. asleep 뺌(눈 뜨고 있음). 11칸
7-03,머그잔과 휴식,확정,2026-08-28,머그잔·헤드폰. 좌표 9개 조정
7-04,알람시계와 걱정,확정,2026-08-28,★심각★ 부제는 불안인데 사람이 웃고 있음. annoy·fear·panic·shock·upset·anger·fright 7개 뺌. 4칸. 재제작 권장
7-12,가족 사진,확정,2026-08-28,★제목불일치★ 가족사진인데 액자가 비어있고 아이 둘뿐. photo·male·photograph·divorce 뺌. 10칸
7-13,사람의 몸,확정,2026-08-28,★심각★ 뇌·척추·무릎뼈뿐. breathe·stomach·chest·shoulder·tongue·cough·nail·blind 8개 뺌. 3칸
8-02,자전거와 수레,확정,2026-08-28,자전거·수레·바구니. picnic·vehicle 뺌. 7칸
8-03,공원 벤치와 배낭,확정,2026-08-28,공원벤치·배낭·담요. 좌표 8개 조정
8-09,캠핑 주전자와 머그컵,확정,2026-08-28,캠핑주전자·머그컵·돌. 좌표 5개 조정
8-10,밧줄과 고리쇠,확정,2026-08-28,밧줄사리·고리쇠 2개. 좌표 7개 조정
8-11,군용 장비,확정,2026-08-28,헬멧·군화·수통·쌍안경. spy·bomb·victim 뺌(없음). 6칸
8-12,골프 그린,확정,2026-08-28,골프채·공·깃대·우승컵. coach·champion 뺌(사람 없음). 7칸
8-13,기름병과 손잡이 병,확정,2026-08-28,붓는 장면 없음. increase·spoil·waste·reduce 뺌. 2칸
9-01,그랜드 피아노와 건반,확정,2026-08-28,피아노만. perform·concert·master 뺌(사람 없음). 4칸
9-02,어쿠스틱 기타와 울림통,확정,2026-08-28,기타·피크. band·entertain 뺌. 5칸. 피크에 단어 없음
9-03,클래식 바이올린과 활,확정,2026-08-28,바이올린·활. impress·fascinate 뺌. 4칸
9-04,황동 트럼펫과 피스톤,확정,2026-08-28,트럼펫. shout·parade 뺌(사람도 행진도 없음). 6칸
9-05,피라미드 메트로놈,확정,2026-08-28,메트로놈. pitch 뺌(박자지 음높이 아님). 6칸
9-06,중후한 첼로와 엔드핀,확정,2026-08-28,첼로. 앞서 확정. 3칸
9-07,황동 색소폰과 키,확정,2026-08-28,색소폰. amuse·excite·humor 뺌. 3칸
9-08,프렌치 호른과 원형 관,확정,2026-08-28,프렌치호른. 4칸 전부 통과
9-09,은빛 플루트와 키,확정,2026-08-28,플루트·닦는천. surprise·amaze 뺌. 2칸. 천에 단어 없음
9-10,흑단 클라리넷과 벨,확정,2026-08-28,★심각★ 클라리넷만. joke·speech·converse·aloud·accent 5개 뺌(말하는 사람 없음). 2칸
10-01,새벽 안개 낀 시골길,확정,2026-08-28,시골집·안개·울타리·굴뚝연기. 8칸 전부 통과
10-02,폭풍우와 물결,확정,2026-08-28,물개·바위·파도. 9칸 유지
10-03,녹는 얼음과 김,확정,2026-08-28,공장굴뚝·연기·녹는얼음. temperature 뺌(온도계 없음). 7칸
10-05,털장갑 한 켤레,확정,2026-08-28,★미완성★ 벙어리장갑 선화만·채색 거의 없음. tight·lend 뺌. 2칸
10-09,둥근 유리 플라스크,확정,2026-08-28,유리 플라스크. 2칸
11-01,사막의 혼천의,확정,2026-08-28,혼천의·피라미드·사막. calendar 뺌. 8칸
11-02,황동 현미경과 광물,확정,2026-08-28,현미경·광물·손연필. cell 뺌(세포 안보임). 8칸
11-03,측량기와 곧은 길,확정,2026-08-28,측량기·돌길. strategy 뺌. 8칸
11-14,양팔저울과 추,확정,2026-08-28,온도계·양팔저울·모래시계. 8칸 유지. 온도계·모래시계에 단어 없음
11-15,천구의와 궤도,확정,2026-08-28,★심각★ 혼천의·천문대돔·망원경뿐. chart·planet·rocket·billion 뺌(로켓도 행성도 없음). 5칸
11-16,로봇팔과 회로판,확정,2026-08-28,배터리·로봇팔·회로판. 7칸 전부 통과
12-01,캠핑과 밤 이야기,확정,2026-08-28,텐트·모닥불·초승달·별자리. magic·ghost·chat·whisper·dare 5개 뺌(유령도 사람도 없음). 4칸
12-03,책 속의 비밀 미로,확정,2026-08-28,미로책·나침반그림·열쇠. 9칸 유지
12-04,천사와 파스텔 하늘,확정,2026-08-28,천사상·기둥·빛. glory·forgive 뺌. 7칸
12-10,무대의 조명과 가면,확정,2026-08-28,조명·가면 2개·커튼·무대바닥. comedy·cast 뺌. 5칸
