단어,뜻,갈래,레벨,처리방법
instruct,지시하다,소리내어 말하기,레벨2,B_스토리
interrupt,말을 끊다,소리내어 말하기,레벨2,B_스토리
paragraph,문단,소리내어 말하기,레벨1,B_스토리
reply,대답하다,소리내어 말하기,레벨1,B_스토리
speech,연설,소리내어 말하기,레벨1,B_스토리
billion,십억,수와 셈,레벨2,B_스토리
dozen,열두 개,수와 셈,레벨2,B_스토리
per,마다,수와 셈,레벨2,B_스토리
thousand,천,수와 셈,레벨1,B_스토리
able,할 수 있는,쉽고 어려움,레벨2,B_스토리
capable,할 수 있는,쉽고 어려움,레벨2,B_스토리
ease,쉬움,쉽고 어려움,레벨2,B_스토리
practical,실용적인,쉽고 어려움,레벨2,B_스토리
simple,단순한,쉽고 어려움,레벨1,B_스토리
tough,힘든,쉽고 어려움,레벨2,B_스토리
annual,해마다의,시간과 때,레벨2,B_스토리
calendar,달력,시간과 때,레벨1,B_스토리
due,~하기로 된,시간과 때,레벨1,B_스토리
event,일어난 일,시간과 때,레벨1,B_스토리
forever,영원히,시간과 때,레벨1,B_스토리
instant,즉각적인,시간과 때,레벨1,B_스토리
nowadays,요즘,시간과 때,레벨1,B_스토리
occasion,경우,시간과 때,레벨2,B_스토리
once,한 번,시간과 때,레벨1,B_스토리
period,기간,시간과 때,레벨1,B_스토리
previous,앞선,시간과 때,레벨2,B_스토리
recent,최근의,시간과 때,레벨1,B_스토리
soon,곧,시간과 때,레벨1,B_스토리
sudden,갑작스러운,시간과 때,레벨1,B_스토리
term,기간,시간과 때,레벨2,B_스토리
yet,아직,시간과 때,레벨1,B_스토리
bomb,폭탄,싸움과 지킴,레벨2,B_스토리
evil,악한,싸움과 지킴,레벨2,B_스토리
gun,총,싸움과 지킴,레벨1,B_스토리
oppose,반대하다,싸움과 지킴,레벨1,B_스토리
rob,빼앗다,싸움과 지킴,레벨1,B_스토리
spy,첩자,싸움과 지킴,레벨1,B_스토리
steal,훔치다,싸움과 지킴,레벨1,B_스토리
accent,말투,알리고 밝히기,레벨2,B_스토리
admit,인정하다,알리고 밝히기,레벨1,B_스토리
emphasize,강조하다,알리고 밝히기,레벨2,B_스토리
frankly,솔직히,알리고 밝히기,레벨2,B_스토리
pronounce,발음하다,알리고 밝히기,레벨1,B_스토리
league,연맹,운동과 겨루기,레벨2,B_스토리
agent,대리인,일과 직업,레벨1,B_스토리
career,경력,일과 직업,레벨2,B_스토리
chairman,의장,일과 직업,레벨1,B_스토리
employ,일을 시키다,일과 직업,레벨2,B_스토리
hire,사람을 쓰다,일과 직업,레벨2,B_스토리
master,달인,일과 직업,레벨2,B_스토리
promote,승진시키다,일과 직업,레벨2,B_스토리
affect,영향을 주다,일의 결과,레벨2,B_스토리
cause,원인,일의 결과,레벨1,B_스토리
effect,효과,일의 결과,레벨1,B_스토리
expect,기대하다,일의 결과,레벨1,B_스토리
factor,요인,일의 결과,레벨2,B_스토리
happen,일어나다,일의 결과,레벨1,B_스토리
influence,영향,일의 결과,레벨1,B_스토리
intend,의도하다,일의 결과,레벨2,B_스토리
intent,의도,일의 결과,레벨2,B_스토리
matter,중요하다,일의 결과,레벨1,B_스토리
obvious,분명한,일의 결과,레벨2,B_스토리
occur,일어나다,일의 결과,레벨2,B_스토리
potential,가능성,일의 결과,레벨2,B_스토리
purpose,목적,일의 결과,레벨1,B_스토리
result,결과,일의 결과,레벨1,B_스토리
succeed,성공하다,일의 결과,레벨1,B_스토리
access,닿는 길,정도와 범위말,레벨2,B_스토리
account,셈 적은 것,정도와 범위말,레벨1,B_스토리
affair,일,정도와 범위말,레벨1,B_스토리
appeal,호소하다,정도와 범위말,레벨2,B_스토리
basis,기초,정도와 범위말,레벨2,B_스토리
brief,짧은,정도와 범위말,레벨2,B_스토리
characteristic,특징,정도와 범위말,레벨2,B_스토리
common,흔한,정도와 범위말,레벨1,B_스토리
conscious,의식하는,정도와 범위말,레벨2,B_스토리
each,저마다,정도와 범위말,레벨1,B_스토리
else,그 밖에,정도와 범위말,레벨1,B_스토리
especial,특별한,정도와 범위말,레벨2,B_스토리
ever,언제든,정도와 범위말,레벨1,B_스토리
final,마지막의,정도와 범위말,레벨1,B_스토리
general,두루 쓰이는,정도와 범위말,레벨2,B_스토리
indeed,참으로,정도와 범위말,레벨1,B_스토리
instance,예,정도와 범위말,레벨2,B_스토리
interest,관심,정도와 범위말,레벨1,B_스토리
item,항목,정도와 범위말,레벨1,B_스토리
main,주된,정도와 범위말,레벨2,B_스토리
maybe,아마도,정도와 범위말,레벨1,B_스토리
mean,뜻하다,정도와 범위말,레벨1,B_스토리
nowhere,아무데도 없는,정도와 범위말,레벨2,B_스토리
other,다른,정도와 범위말,레벨1,B_스토리
overall,전체의,정도와 범위말,레벨2,B_스토리
particular,특정한,정도와 범위말,레벨2,B_스토리
perhaps,아마,정도와 범위말,레벨1,B_스토리
plus,더하기,정도와 범위말,레벨1,B_스토리
possible,있을 수 있는,정도와 범위말,레벨1,B_스토리
probable,있음직한,정도와 범위말,레벨2,B_스토리
section,부분,정도와 범위말,레벨1,B_스토리
session,시간,정도와 범위말,레벨2,B_스토리
somewhat,다소,정도와 범위말,레벨2,B_스토리
such,그런,정도와 범위말,레벨1,B_스토리
advantage,이로운 점,좋고 나쁨,레벨1,B_스토리
benefit,이익,좋고 나쁨,레벨2,B_스토리
correct,맞는,좋고 나쁨,레벨1,B_스토리
fair,공정한,좋고 나쁨,레벨1,B_스토리
fault,잘못,좋고 나쁨,레벨1,B_스토리
fortunate,운 좋은,좋고 나쁨,레벨2,B_스토리
improve,나아지게 하다,좋고 나쁨,레벨1,B_스토리
increase,늘다,좋고 나쁨,레벨1,B_스토리
necessary,꼭 필요한,좋고 나쁨,레벨1,B_스토리
perfect,완벽한,좋고 나쁨,레벨1,B_스토리
proper,알맞은,좋고 나쁨,레벨1,B_스토리
quality,질,좋고 나쁨,레벨1,B_스토리
reduce,줄이다,좋고 나쁨,레벨2,B_스토리
contribute,보태다,주고받기,레벨2,B_스토리
deserve,받을 만하다,주고받기,레벨2,B_스토리
exchange,교환하다,주고받기,레벨1,B_스토리
lend,빌려주다,주고받기,레벨1,B_스토리
refuse,거절하다,주고받기,레벨2,B_스토리
reserve,예약하다,주고받기,레벨2,B_스토리
share,나누다,주고받기,레벨1,B_스토리
resource,자원,찾고 얻기,레벨2,B_스토리
apply,갖다 쓰다,하고 다루기,레벨1,B_스토리
cope,헤쳐 나가다,하고 다루기,레벨2,B_스토리
dare,감히 하다,하고 다루기,레벨2,B_스토리
perform,공연하다,하고 다루기,레벨1,B_스토리
process,과정,하고 다루기,레벨2,B_스토리
quit,그만두다,하고 다루기,레벨1,B_스토리
anger,화,화와 두려움,레벨2,B_스토리
annoy,짜증나게 하다,화와 두려움,레벨1,B_스토리
bother,성가시게 하다,화와 두려움,레벨1,B_스토리
concern,걱정,화와 두려움,레벨1,B_스토리
cruel,모진,화와 두려움,레벨2,B_스토리
disturb,방해하다,화와 두려움,레벨1,B_스토리
fright,놀람,화와 두려움,레벨2,B_스토리
frustrate,애타게 하다,화와 두려움,레벨2,B_스토리
panic,겁에 질림,화와 두려움,레벨1,B_스토리
rude,버릇없는,화와 두려움,레벨1,B_스토리
shock,충격,화와 두려움,레벨1,B_스토리
upset,속상한,화와 두려움,레벨1,B_스토리
altogether,모두 합쳐,이음말,레벨2,C_문법어카드
despite,~에도 불구하고,이음말,레벨2,C_문법어카드
either,둘 중 하나,이음말,레벨1,C_문법어카드
even,심지어,이음말,레벨1,C_문법어카드
except,~을 빼고,이음말,레벨1,C_문법어카드
instead,대신에,이음말,레벨1,C_문법어카드
let,~하게 하다,이음말,레벨1,C_문법어카드
moreover,게다가,이음말,레벨2,C_문법어카드
neither,둘 다 아닌,이음말,레벨2,C_문법어카드
nor,~도 아닌,이음말,레벨2,C_문법어카드
otherwise,그렇지 않으면,이음말,레벨2,C_문법어카드
ought,마땅히 ~해야 한다,이음말,레벨2,C_문법어카드
rather,오히려,이음말,레벨1,C_문법어카드
shall,~할 것이다,이음말,레벨1,C_문법어카드
then,그때,이음말,레벨1,C_문법어카드
therefore,그러므로,이음말,레벨1,C_문법어카드
though,비록,이음말,레벨1,C_문법어카드
thus,그러므로,이음말,레벨2,C_문법어카드
which,어느 것,이음말,레벨1,C_문법어카드
whole,전체의,이음말,레벨1,C_문법어카드
would,~일 것이다,이음말,레벨1,C_문법어카드
although,비록 ~이지만,자리와 방향,레벨1,C_문법어카드
aside,옆으로,자리와 방향,레벨2,C_문법어카드
forth,앞으로,자리와 방향,레벨2,C_문법어카드
since,~부터,자리와 방향,레벨1,C_문법어카드
till,~까지,자리와 방향,레벨1,C_문법어카드
unless,~하지 않으면,자리와 방향,레벨2,C_문법어카드
until,~까지,자리와 방향,레벨1,C_문법어카드
whether,~인지,자리와 방향,레벨2,C_문법어카드
while,~하는 동안,자리와 방향,레벨1,C_문법어카드
without,~없이,자리와 방향,레벨1,C_문법어카드
